2022-11-6_16-19-25,982.83,13.01,53.27
2022-11-6_16-20-25,982.85,12.98,53.50
2022-11-6_16-21-25,982.90,12.95,56.76
2022-11-6_16-22-25,982.88,12.90,54.74
2022-11-6_16-23-26,982.90,12.90,55.00
2022-11-6_16-24-26,982.90,12.91,52.54
2022-11-6_16-25-26,983.03,12.92,54.77
2022-11-6_16-26-26,982.99,12.90,54.03
2022-11-6_16-27-26,983.05,12.87,53.63
2022-11-6_16-28-26,983.08,12.88,54.12
2022-11-6_16-29-27,983.05,12.87,52.91
2022-11-6_16-30-27,983.05,12.88,52.44
2022-11-6_16-31-27,982.99,12.86,55.09
2022-11-6_16-32-27,983.04,12.81,54.56
2022-11-6_16-33-27,983.06,12.78,55.47
2022-11-6_16-34-27,983.02,12.77,53.57
2022-11-6_16-35-27,983.11,12.75,54.01
2022-11-6_16-36-28,983.07,12.73,54.09
2022-11-6_16-37-28,983.17,12.73,53.53
2022-11-6_16-38-28,983.22,12.71,54.78
2022-11-6_16-39-28,983.18,12.65,54.63
2022-11-6_16-40-28,983.18,12.64,54.71
2022-11-6_16-41-28,983.14,12.62,55.44
2022-11-6_16-42-28,983.21,12.60,54.70
2022-11-6_16-43-29,983.19,12.60,51.65
2022-11-6_16-44-29,983.23,12.61,53.11
2022-11-6_16-45-29,983.23,12.56,52.36
2022-11-6_16-46-29,983.30,12.55,53.89
2022-11-6_16-47-29,983.28,12.55,51.89
2022-11-6_16-48-29,983.34,12.52,54.44
2022-11-6_16-49-29,983.47,12.48,53.05
2022-11-6_16-50-30,983.54,12.47,53.06
2022-11-6_16-51-30,983.56,12.44,54.53
2022-11-6_16-52-30,983.61,12.41,53.45
2022-11-6_16-53-30,983.63,12.36,54.48
2022-11-6_16-54-30,983.68,12.34,54.22
2022-11-6_16-55-30,983.57,12.29,52.39
2022-11-6_16-56-30,983.66,12.28,52.88
2022-11-6_16-57-31,983.66,12.23,53.64
2022-11-6_16-58-31,983.71,12.21,52.82
2022-11-6_16-59-31,983.71,12.16,52.01
2022-11-6_17-0-31,983.80,12.14,52.30
2022-11-6_17-1-31,983.78,12.13,52.48
2022-11-6_17-2-31,983.71,12.12,52.92
2022-11-6_17-3-31,983.80,12.10,49.90
2022-11-6_17-4-32,983.82,12.11,53.19
2022-11-6_17-5-32,983.82,12.11,49.68
2022-11-6_17-6-32,983.86,12.13,48.42
2022-11-6_17-7-32,983.90,12.16,50.16
2022-11-6_17-8-32,983.92,12.16,49.47
2022-11-6_17-9-32,983.94,12.18,48.98
2022-11-6_17-10-32,983.92,12.17,49.57
2022-11-6_17-11-33,983.96,12.18,50.03
2022-11-6_17-12-33,983.96,12.22,52.44
2022-11-6_17-13-33,983.98,12.23,50.47
2022-11-6_17-14-33,984.09,12.23,52.15
2022-11-6_17-15-33,984.13,12.20,50.95
2022-11-6_17-16-33,984.05,12.17,48.97
2022-11-6_17-17-33,984.10,12.14,52.79
2022-11-6_17-18-34,984.01,12.10,53.01
2022-11-6_17-19-34,984.02,12.05,50.08
2022-11-6_17-20-34,984.10,12.04,52.02
2022-11-6_17-21-34,984.19,12.04,53.16
2022-11-6_17-22-34,984.15,12.02,49.82
2022-11-6_17-23-34,984.15,11.98,50.36
2022-11-6_17-24-35,984.28,11.95,53.31
2022-11-6_17-25-35,984.26,11.87,52.56
2022-11-6_17-26-35,984.20,11.85,50.02
2022-11-6_17-27-35,984.16,11.83,48.77
2022-11-6_17-28-35,984.10,11.80,49.23
2022-11-6_17-29-35,984.14,11.78,50.56
2022-11-6_17-30-35,984.14,11.74,51.46
2022-11-6_17-31-36,984.17,11.70,50.74
2022-11-6_17-32-36,984.13,11.67,51.01
2022-11-6_17-33-36,984.11,11.66,49.66
2022-11-6_17-34-36,984.04,11.64,51.73
2022-11-6_17-35-36,984.19,11.61,50.50
2022-11-6_17-36-36,984.30,11.61,50.47
2022-11-6_17-37-36,984.24,11.58,52.57
2022-11-6_17-38-37,984.18,11.55,50.02
2022-11-6_17-39-37,984.18,11.55,50.45
2022-11-6_17-40-37,984.05,11.55,52.88
2022-11-6_17-41-37,984.09,11.61,54.35
2022-11-6_17-42-37,984.07,11.60,51.91
2022-11-6_17-43-37,984.09,11.61,51.16
2022-11-6_17-44-37,984.06,11.64,50.82
2022-11-6_17-45-38,984.14,11.74,55.73
2022-11-6_17-46-38,984.18,11.79,52.23
2022-11-6_17-47-38,984.20,11.80,54.11
2022-11-6_17-48-38,984.20,11.90,58.40
2022-11-6_17-49-38,984.28,11.94,55.80
2022-11-6_17-50-38,984.34,11.96,55.64
2022-11-6_17-51-38,984.43,11.91,56.02
2022-11-6_17-52-39,984.42,11.80,52.09
2022-11-6_17-53-39,984.38,11.74,52.60
2022-11-6_17-54-39,984.36,11.73,53.32
2022-11-6_17-55-39,984.31,11.76,52.52
2022-11-6_17-56-39,984.27,11.75,52.82
2022-11-6_17-57-39,984.42,11.76,57.30
2022-11-6_17-58-39,984.33,11.77,52.61
2022-11-6_17-59-39,984.44,11.77,52.44
2022-11-6_18-0-40,984.38,11.75,55.02
2022-11-6_18-1-40,984.46,11.73,51.09
2022-11-6_18-2-40,984.49,11.70,51.02
2022-11-6_18-3-40,984.51,11.71,53.64
2022-11-6_18-4-40,984.53,11.71,53.71
2022-11-6_18-5-40,984.53,11.62,48.82
2022-11-6_18-6-41,984.51,11.70,53.42
2022-11-6_18-7-41,984.59,11.75,52.65
2022-11-6_18-8-41,984.62,11.65,50.16
2022-11-6_18-9-41,984.70,11.65,51.51
2022-11-6_18-10-41,984.68,11.59,50.16
2022-11-6_18-11-41,984.70,11.61,52.52
2022-11-6_18-12-41,984.81,11.56,49.07
2022-11-6_18-13-41,984.81,11.56,51.27
2022-11-6_18-14-42,984.68,11.60,51.16
2022-11-6_18-15-42,984.66,11.62,46.47
2022-11-6_18-16-42,984.79,11.58,47.46
2022-11-6_18-17-42,984.77,11.53,48.29
2022-11-6_18-18-42,984.80,11.51,49.81
2022-11-6_18-19-42,984.86,11.49,48.51
2022-11-6_18-20-42,984.82,11.45,46.67
2022-11-6_18-21-43,984.84,11.43,46.52
2022-11-6_18-22-43,984.91,11.40,46.09
2022-11-6_18-23-43,984.93,11.46,46.56
2022-11-6_18-24-43,985.05,11.42,47.05
2022-11-6_18-25-43,985.04,11.41,45.73
2022-11-6_18-26-44,985.08,11.39,47.71
2022-11-6_18-27-44,985.10,11.39,45.68
2022-11-6_18-28-44,985.02,11.36,46.22
2022-11-6_18-29-44,985.12,11.36,45.53
2022-11-6_18-30-44,985.21,11.35,46.91
2022-11-6_18-31-44,985.27,11.38,48.09
2022-11-6_18-32-44,985.23,11.36,45.17
2022-11-6_18-33-45,985.23,11.36,47.02
2022-11-6_18-34-45,985.14,11.36,48.94
2022-11-6_18-35-45,985.21,11.40,48.88
2022-11-6_18-36-45,985.16,11.37,48.39
2022-11-6_18-37-45,985.17,11.28,44.37
2022-11-6_18-38-45,985.21,11.25,45.98
2022-11-6_18-39-45,985.13,11.27,45.02
2022-11-6_18-40-45,985.17,11.28,42.15
2022-11-6_18-41-46,985.15,11.27,45.59
2022-11-6_18-42-46,985.19,11.25,44.82
